gene	chr	tpm	pcon	phicpm	pchcpm	patcpm	phichat	eatcpm	ehicpm	ehichat
Teddm2	chr1	1.695021604	14	272	6.139132918	11.50362663	1245.952551	23.54871409	442	92.07019586
Gm28286	chr1	0	2	78	0	5.289558629	0	23.00725326	406	357.2952169
A830008E24Rik	chr1	0.524670006	2	40	0	0	0	23.00725326	406	183.2283164
Gm29282	chr1	0	6	111	3.045191621	0	159.9413604	99.33394486	458	310.229372
Gm9530	chr1	0.6976631205	5	121	5.48440404	10.6296898	487.1722827	46.83147565	525	213.9891993
Ier5	chr1	52.56529485	5	103	7.534632587	49.01555411	406.2190979	17.63881729	401	183.3668624
Stx6	chr1	24.13348209	4	51	4.65732947	29.03719482	173.3633601	24.89745847	427	116.7065291
Gm5532	chr1	0.15317175	3	30	4.467481526	0	43.70659284	0	30	0
Acbd6	chr1	21.44183893	1	11	8.419292041	4.984718002	44.36788538	0	11	0
Cep350	chr1	350.3480375	3	81	10.06686217	34.98641685	468.1125847	54.92411905	695	181.6722485
Tor1aip1,Tor1aip2	chr1	268.8615031	5	155	5.961651709	22.61925298	359.0854914	47.58281544	633	391.3594957
Soat1	chr1	66.04236479	1	14	5.013801888	12.99444371	38.2328308	16.9148791	326	25.4581691
Abl2	chr1	22.45675992	3	64	15.39475572	29.98330362	375.0278846	32.59279039	406	107.6623465
Tor3a	chr1	38.08689344	1	31	9.387902971	10.38521848	119.7230512	16.9148791	326	56.37166015
Fam20b	chr1	52.71982656	1	10	8.77198754	12.63773497	43.15132547	6.035029694	72	35.65106737
Rasal2	chr1	9.10315081	1	13	8.636240415	26.77532114	65.4015075	6.978302916	13	19.47691001
Terf1	chr1	66.39873903	5	91	11.5029955	47.716025	315.1477872	97.88359919	429	223.5631299
Sbspon	chr1	0.1439390631	1	16	0	0	0	47.716025	91	55.41059995
4930523C07Rik,Gm37294	chr1	5.068448613	1	27	8.343561048	5.413723096	88.67846612	0	66	33.9812303
Mrps14	chr1	19.537008	1	47	9.474249888	38.18076377	192.241087	48.43162632	145	192.1061012
Cacybp	chr1	217.7349962	4	145	8.939569003	48.43162632	592.667759	80.49174803	191	368.3537745
Rabgap1l	chr1	32.31574589	1	16	3.770609002	15.20211598	59.28201245	55.30098822	16	69.76027934
Rc3h1	chr1	23.06738746	1	16	7.246003763	55.30098822	69.76027934	15.20211598	16	59.28201245
Rpl7	chr1	971.5586399	5	69	8.685861936	29.86610214	277.7024194	75.70151286	423	140.9989935
Zbtb37	chr1	4.71673155	3	77	5.956807207	36.0287195	232.6008409	32.82974228	110	219.6746235
Rdh10	chr1	20.57107897	3	37	8.685861936	47.18642791	148.9128916	54.87044372	141	72.95594486
Cenpl,Dars2	chr1	41.73204341	3	54	6.480151068	26.12349796	151.4642967	150.3386432	269	171.6552573
Klhl20	chr1	26.3738849	1	12	4.612947377	6.706244323	27.85707528	36.0287195	77	36.24948169
Suco	chr1	69.4273001	8	132	7.189350383	45.009434	548.4753925	16.64211095	204	214.9561563
4930558K02Rik,Pigc	chr1	11.69725278	4	70	4.973236744	11.44950171	178.1472395	45.009434	210	157.3143723
Mettl13	chr1	21.00952115	4	85	4.170045639	6.991856649	215.3989559	60.41449741	107	312.3880632
Vamp4	chr1	21.60677536	2	49	8.139828515	18.80015151	201.0642303	48.60620255	107	146.0695621
Prrc2c	chr1	666.4880653	2	22	11.18974683	41.6143459	99.54711666	25.79200816	134	73.01202702
Slc19a2	chr1	48.02347883	2	28	4.725456214	34.96123994	102.755518	33.38617245	70	83.26454307
Ccdc181	chr1	18.42013725	2	28	2.689038505	11.90563508	86.65006297	56.44177731	70	91.3172706
Blzf1	chr1	51.32677913	3	42	7.151170018	21.48053737	119.8185348	46.86687502	70	146.0805495
Atp1b1	chr1	36.40829847	1	39	6.547320375	31.41438884	175.4733528	0	72	0
Stau2	chr1	16.9449696	1	12	9.559708895	40.9019774	57.67222054	20.83106914	269	42.8167544
Dcaf6,Mpc2	chr1	77.60777898	5	72	11.74936886	63.48316173	481.9243087	53.07191192	756	118.7164749
Mpzl1	chr1	39.00849122	8	267	3.873964248	14.08864296	607.5345266	96.94549296	822	681.1806672
Creg1	chr1	54.6615241	1	21	4.831037962	17.18872171	57.12926182	5.40768773	21	34.72754613
Gm26665,Pou2f1	chr1	18.591509	2	23	11.79037755	28.12088496	137.8759474	0	23	0
Dusp27	chr1	2.812039308	1	11	0	0	0	28.12088496	23	65.94067051
Ube2w	chr1	41.16143786	3	95	7.151362337	29.02569364	351.5774711	44.61570785	459	296.5937767
D030040B21Rik,Eloc	chr1	89.37268927	7	269	8.808814706	20.83106914	959.8089112	196.1521914	473	807.9168468
Tmem70	chr1	57.64351741	2	137	6.641466872	18.35706977	376.96633	49.85676278	364	491.3469125
Ly96	chr1	5.228440858	2	53	5.330005129	5.427568935	87.42682013	49.85676278	364	190.9658686
Gm2453,Uck2	chr1	174.6265119	4	215	7.057567076	10.36318088	841.5422042	49.30718979	1033	438.0838746
Tmco1	chr1	51.44303586	8	308	6.297303107	40.75916226	806.5984132	45.51303306	1255	783.9686522
Nuf2	chr1	74.0734796	2	19	5.128488824	9.586355521	53.79445479	0	19	0
Ccdc190	chr1	0	1	8	0	0	0	9.586355521	19	22.65029675
Atf6	chr1	43.65521831	3	89	3.721873078	25.86488598	174.816784	54.20327041	289	451.9717576
Dusp12,Gm26620	chr1	17.98210078	2	46	12.00550038	27.49833874	280.8800558	46.54984789	123	89.71756549
Jph1	chr1	11.33293237	1	16	2.899730924	24.85775454	47.72407662	20.83106914	269	57.08900587
Cfap126	chr1	1.901964219	1	14	0	0	0	8.598514226	232	26.49492679
Mpz,Sdhc	chr1	58.14380886	4	57	8.088295583	18.88221542	199.1175244	54.76165442	530	185.8320422
Nr1i3	chr1	0.2575639465	1	16	0	0	0	19.25466624	201	87.15041939
Tomm40l	chr1	2.505357581	1	12	4.879052128	11.13662424	39.03048224	19.25466624	201	65.36281454
Apoa2	chr1	3.548935497	2	30	5.736024457	0	43.48938672	27.85318047	433	99.42772042
Fcer1g	chr1	1.812495507	2	44	5.736024457	0	63.78443386	19.25466624	244	157.9764604
Ndufs2	chr1	400.5641304	11	232	4.272787648	8.598514226	439.0587869	83.69200842	961	578.6658471
B4galt3	chr1	61.35672508	3	116	5.712720429	13.38196837	324.3251802	45.55793967	818	312.7398532
Ppox	chr1	34.03908506	3	97	4.755646284	13.07578893	286.5421356	41.23514884	549	283.9839938
Usp21	chr1	35.67615415	5	86	5.051941308	19.09736946	231.6034534	85.0794632	1260	248.8643139
Ufc1	chr1	95.05306201	2	44	9.974805107	0	121.3867474	23.88363651	728	87.35011356
Dedd,Gm20045	chr1	11.62494996	15	489	8.137219666	23.88363651	1406.566626	159.3970251	1563	1007.957042
Nit1,Pfdn2	chr1	61.59936688	11	281	8.589408055	14.4604308	657.9015593	157.8798745	1290	833.1156128
Usf1	chr1	35.79311815	4	69	7.579758719	35.16679915	241.1051642	53.5135126	882	153.0921567
F11r,Gm26641	chr1	221.1474793	5	108	5.405172965	20.16586516	238.8518646	42.16471625	918	200.3820215
Alyref2	chr1	6.026623007	3	62	12.70272477	21.32144371	385.0464295	25.45606252	329	32.77801363
Copa,Ncstn	chr1	457.1187041	8	164	10.62355172	7.489761592	653.9316789	131.412673	1424	474.4007938
Pex19	chr1	131.6928666	3	58	4.82677312	7.797774969	113.4531826	55.34575425	718	197.129784
Dcaf8	chr1	123.9296326	16	394	10.00043748	16.20598628	1260.378286	146.6461601	1578	957.1639506
Pea15a	chr1	119.0529036	6	128	5.262320418	17.91073016	300.8974122	53.89497433	825	299.1778382
Casq1	chr1	2.714847101	4	92	6.036596522	6.038981672	192.4336569	65.76672282	781	255.1692447
Pigm	chr1	41.05362762	5	79	7.674353705	38.55490909	252.2385268	62.54982914	1319	268.5009242
Igsf9	chr1	17.2473153	5	100	5.33233855	19.37362238	239.1048795	49.18832686	716	232.8398403
Tagln2	chr1	659.7090632	15	533	9.869076541	32.53807099	1893.848802	129.3682061	1384	993.4162243
Cfap45	chr1	1.523349224	2	65	5.53228361	7.18679689	159.4724349	32.53807099	657	230.9571709
Fh1	chr1	145.1481071	2	24	11.08508089	25.4259464	104.1901944	83.3510711	48	83.18817891
Chml,Opn3	chr1	92.36067962	2	22	4.474985606	65.63952377	98.25965785	43.13749373	50	76.43375076
Exo1	chr1	32.82850442	2	26	6.481707477	17.71154733	71.54586785	91.06547017	46	114.3737904
Cep170,Sdccag8	chr1	85.94576999	2	38	8.740356171	37.70157073	192.373527	8.941659097	38	54.04020782
Zbtb18	chr1	16.34490833	1	8	6.290882318	56.28745199	40.64438945	7.345948837	31	17.84313974
Adss	chr1	226.3235323	3	36	6.966106118	25.70236594	181.8975137	78.65384958	164	85.16673203
Desi2	chr1	36.50469528	6	121	5.375502043	65.23654225	328.8359871	287.2884122	3466	435.3259786
Cox20	chr1	1.2126574	31	1283	7.666730151	49.15800347	4088.225699	312.502832	4445	2757.366363
Hnrnpu	chr1	959.6562674	16	833	11.20172196	109.0131823	3256.476835	159.5516937	4255	1992.37344
Efcab2	chr1	1.514758363	20	1149	15.33343698	33.38469762	6714.326362	300.1331233	4334	1971.351504
Smyd3	chr1	24.06783166	2	68	4.613174717	9.957498653	164.5930823	20.79706573	182	127.361989
Cnst,Tfb2m	chr1	46.72736995	6	150	6.283579161	20.79706573	398.3750406	59.11550212	1456	260.7923762
Sccpdh	chr1	96.46368854	1	16	3.639851077	33.43981054	55.77896861	0	16	28.10778029
Ahctf1,Gm10518	chr1	175.7179277	2	46	7.068482056	26.16903258	148.9643952	17.74974095	57	118.9936533
Cdc42bpa	chr1	28.61666769	2	25	6.980049086	25.18088264	98.3508591	0	64	42.67672296
Psen2	chr1	34.82671582	4	62	5.967225643	24.1214726	271.0977435	42.25693013	894	90.49282367
Itpkb	chr1	31.04182108	3	49	3.820353081	0	91.65003277	25.74842123	718	82.07427791
Lin9	chr1	49.64154068	1	18	9.367296337	21.00839614	70.42592968	26.35458812	53	50.69026123
Acbd3	chr1	94.65534894	3	53	7.322624878	26.35458812	149.2546581	44.28248865	147	163.9152417
Gm38293	chr1	0.2908318336	3	58	7.022855868	11.76913986	131.3641053	80.68256814	235	194.1614477
H3f3a	chr1	17.88893183	4	111	11.68757545	42.82302737	560.4909544	42.74176834	210	382.6033255
Sde2	chr1	91.77512987	1	45	6.943269971	19.46767583	168.038683	42.82302737	111	227.2260626
Pycr2	chr1	37.50763158	3	38	4.98298658	18.96473709	105.4810203	24.65922666	38	46.48735535
Tmem63a	chr1	18.89195574	1	13	3.886020071	21.32220417	30.64147095	18.96473709	38	36.08561222
Nvl	chr1	47.21851098	1	34	6.213121787	8.584481182	92.34531832	4.07990726	34	33.42635332
Cnih4	chr1	37.02060998	2	46	5.729022268	13.73823383	99.80460449	23.19674806	204	110.2655411
Wdr26	chr1	141.5786749	6	163	11.47516546	23.19674806	651.0364858	22.05169371	211	246.4220997
Lbr	chr1	250.1376502	2	60	5.062057036	10.72452049	149.5915741	35.79267181	68	121.9532283
Gm5533	chr1	0.07008199418	1	51	5.486545029	10.13146201	92.03582859	10.72452049	60	127.152838
Enah	chr1	79.32419169	1	12	8.815972626	32.22627602	47.59629958	0	24	14.84093891
Srp9	chr1	28.26579698	2	17	8.427034349	25.6612098	56.51064382	20.07769079	68	22.43873612
Degs1	chr1	170.0271387	1	10	6.344099164	25.57760349	31.6727872	8.787492561	199	25.61477599
Capn2	chr1	123.3711082	7	199	6.184904201	8.787492561	509.7340422	45.51483949	418	460.4655666
Aida,Brox	chr1	61.41238955	2	45	7.486088043	52.44579977	126.6192189	45.45650714	389	192.0207585
Mia3	chr1	389.3292767	3	106	5.124545169	20.70339118	387.0158534	56.87430237	506	355.0699791
1700056E22Rik,Dusp10	chr1	20.8891538	13	359	6.686733772	41.90535687	1646.718116	66.30478915	847	382.2612956
Rab3gap2	chr1	399.9729329	1	13	3.076719379	4.190062678	7.186869993	8.327681904	70	38.21028496
Iars2	chr1	105.1368854	3	70	8.458841072	8.327681904	205.7476882	43.539311	127	158.7820893
Bpnt1	chr1	83.32487452	1	28	13.59828645	13.49305309	163.4791627	39.34924832	95	102.700612
4930532G15Rik,Eprs	chr1	402.406326	4	95	9.932240593	39.34924832	348.448505	21.82073499	127	297.8805125
Kctd3	chr1	66.78426275	1	30	5.859366014	20.53810828	66.41118399	0	30	26.16591376
Cenpf	chr1	300.591353	6	79	6.500149941	22.7999807	312.7267059	43.97852981	1046	189.4088268
Ptpn14	chr1	343.6148324	15	413	6.731598725	11.47899637	1265.915182	21.89052019	2530	706.3696979
Smyd2	chr1	50.18202608	1	9	11.40867968	28.87371816	54.43805788	22.7999807	79	35.62709307
Rps6kc1	chr1	44.99169257	1	45	4.152749784	13.22607628	120.2382254	12.46281217	57	212.2980209
Angel2	chr1	29.02057956	2	57	7.406018977	12.46281217	268.9108264	34.61435384	473	171.0991529
Flvcr1	chr1	10.80888275	4	76	6.767792047	22.97558681	349.027054	35.2238704	504	158.431269
Nsl1,Tatdn3	chr1	41.93280243	1	27	6.144004486	9.411121065	76.08015283	22.97558681	76	123.9964534
Batf3	chr1	15.72073374	1	14	5.031387686	20.0266217	33.22163706	21.38827756	428	59.33774867
Atf3	chr1	116.4719008	1	39	0	0	0	21.38827756	428	165.2980141
D730003I15Rik	chr1	4.904161221	4	160	7.517188978	16.90839128	694.1446421	85.46754372	842	410.3131352
Gm37168	chr1	1.002725214	3	61	3.357451007	0	82.55545764	45.407159	647	261.7428364
Nenf	chr1	194.3187295	1	10	6.187378914	5.412473294	23.96168587	79.90980534	306	46.29516201
Tmem206	chr1	11.39612866	1	13	13.89977361	11.66190602	48.09809664	64.07926616	276	76.86981723
Ppp2r5a	chr1	78.74246868	18	276	9.882023689	64.07926616	1632.00535	146.2862511	894	538.6614087
Gm37432	chr1	0.6030491474	1	14	2.933445655	0	14.07310289	64.07926616	276	82.7828801
Dtl,Ints7	chr1	124.6739137	18	306	9.641945605	79.90980534	1416.631958	175.1451243	1339	624.4974298
Lpgat1	chr1	51.9425511	3	49	9.508920427	36.99182067	184.1130904	96.6336014	533	146.519987
Nek2	chr1	140.7401868	8	101	12.90487003	28.00115679	455.0627599	186.8774801	700	297.117111
Slc30a1	chr1	27.99792862	1	10	6.63276411	29.49794374	45.4896162	28.00115679	101	45.0557188
Diexf	chr1	10.02518452	1	14	3.838403484	8.931026922	34.86533219	0	14	23.65295451
A130010J15Rik	chr1	23.42723223	1	33	6.396265123	15.99704528	101.4150627	4.217996429	33	55.75339278
Cd46	chr1	0.9435037041	1	10	4.102438568	5.142519762	23.6176253	29.47458754	21	42.43588824
Cr1l	chr1	32.86573666	1	9	9.639089921	27.28973288	40.40324858	25.88646497	9	54.30563197
Efhc1	chr1	13.19412991	7	139	4.781801424	13.27393391	543.8937142	27.08668677	568	255.7831269
Tram2	chr1	10.06785388	6	114	15.26022675	20.83301108	762.3149085	29.1314266	613	238.7114346
Rims1	chr1	0.3927778222	1	17	0	0	0	2.989293657	17	32.54172519
Ogfrl1	chr1	16.11413668	1	9	4.868274442	27.74936268	30.68487516	50.13828518	9	40.84188228
Smap1	chr1	70.50231004	3	36	9.517083364	24.70079862	185.9135305	65.20866568	80	171.6479007
Sdhaf4	chr1	27.55899372	1	12	7.263460208	21.67012729	46.10683252	24.70079862	36	61.97117683
Fam135a	chr1	107.6981857	1	14	10.31500197	31.13935795	73.23228977	24.70079862	36	72.2997063
Lmbrd1	chr1	29.79113931	3	36	11.95059166	32.74914152	159.5355417	7.23181206	36	0
Phf3	chr1	181.277885	1	18	0	0	0	29.25365012	229	112.5939988
Ptp4a1	chr1	0.5813810439	11	229	11.74191594	29.25365012	1432.445874	36.52530366	546	296.6825941
Prim2	chr1	123.8101942	2	27	10.16736674	11.71665675	89.91529554	26.17969547	87	95.1883663
Rab23	chr1	9.203003427	1	12	4.935326411	13.34397019	59.40294218	11.71665675	27	39.96235357
Bag2	chr1	39.81863303	5	75	6.970034632	12.83572528	178.9271206	40.46147452	87	210.7156433
Zfp451	chr1	72.4299794	1	24	5.349526757	16.70929583	78.73109071	12.83572528	75	57.25667858
Bend6	chr1	7.103396451	1	11	5.817101195	7.597394389	38.73906093	12.83572528	75	26.24264435
Dst	chr1	51.57114141	2	40	6.056678915	16.21778196	141.462553	3.121425929	95	57.9978413
Ccdc115,Imp4	chr1	67.08573855	1	11	11.89971177	54.91861799	69.2787622	7.665685	11	25.61155719
Fam168b	chr1	90.01411067	1	57	10.71713258	11.46194682	227.8093306	24.16881913	57	139.2959095
Gm28415	chr1	0	1	11	0	0	0	0	1079	48.60821224
1110002O04Rik	chr1	0.3083642491	1	17	0	0	0	0	1079	75.12178255
Gm37146	chr1	0	1	23	0	0	0	0	1079	101.6353529
4930535G08Rik,Gm33222	chr1	0.3918814347	1	39	3.133467806	4.317992034	57.46670826	0	1079	172.338207
Hs6st1	chr1	115.3822	8	144	8.218769984	13.18831412	678.5333832	6.504128352	533	207.7752212
Kansl3	chr1	43.3588267	3	38	8.436896239	23.6131198	151.4009704	25.74245483	38	56.43919354
Cnnm4	chr1	13.29767358	1	11	4.097206226	25.74245483	39.671326	23.6131198	38	43.82659669
Ankrd39	chr1	6.398796577	4	134	2.861427603	11.41468106	384.7867112	79.82842214	825	332.2517054
Sema4c	chr1	24.90122633	12	354	5.166894101	26.61868706	1004.827188	68.27862097	875	447.2517164
Fam178b	chr1	1.221237347	1	15	0	3.654204827	0	26.61868706	354	42.57742322
Cox5b	chr1	118.5557427	6	193	4.866498665	16.89466312	710.6486057	97.22381754	750	481.4009524
4933424G06Rik,Actr1b	chr1	150.508483	1	27	6.124788048	22.87537746	81.63408147	16.89466312	193	99.41716246
Gm33533	chr1	0.06772146339	1	19	0	0	0	16.89466312	193	69.96022543
Coa5,Unc50	chr1	141.7930114	1	10	6.550688987	16.81557218	33.28515054	0	10	11.88170743
Mgat4a	chr1	29.10701796	1	25	11.5637521	20.32651105	108.817538	0	25	27.09888907
